team_name,team_number
Guerilla Method,585
ACG,586
Miami Flamingos,587
Turkey5,588
IDM,589
Future Perfect,590
Deceptors,591
Enigma6,592
CAI,593
Aerowolf,594
Strictly Business,595
LeftOut,596
Hard Legion,597
ex-Deathtrap,598
visomvet,599
Lazarus fe,600
ALLIN,601
MALCO,602
Oceanus,603
ROCK CANDY,604
Maknitude,605
VG.Renascence,606
Method,607
Envy,608
Wings,609
FURY,610
No Limits,611
MDL Jammers,612
ad hoc,613
ECLOT,614
coREA,615
noKappa,616
VG.Anthrax,617
The Prime,618
Squared Prospects,619
Novacancy,620
fnatic Academy,621
Sons of Scoots,622
PITS,623
Enso,624
ZDM,625
INTZ.Home,626
Sherifi,627
ajukreizi,628
ProGamers,629
Na`Vi Junior,630
GamerLegion,631
Savor the Fear,632
dream[S]cape,633
LAN DODGERS,634
Invictus,635
PSYCHOACTIVE,636
Pompa,637
Virtual Genesis,638
Preparation.Yellow,639
x6tence,640
OVERDRIVE,641
Taboo,642
90ss,643
ex-SEAL,644
Ace High,645
Retired,646
Sippintea,647
Braindead,648
Rise Nation,649
Reseaux,650
ASDF,651
Mexico,652
Morior Invictus,653
MC,654
Nexus,655
JavsrieN,656
boxr,657
Dead Pixels,658
ex-Wind and Rain,659
ex-eRa,660
ex-Next Generation,661
KoN Norway,662
Drama Dogs,663
Tricked Academy,664
Panda,665
Spacestation,666
Nordavind,667
fightclub,668
Itakera Classic,669
RMU,670
1UP,671
24BHB,672
Valour,673
Secret fe,674
Expendables,675
eXploit,676
Snabbabrillor,677
Atrapa2,678
Tempest,679
Ronin Horde,680
PiTER,681
Ballistix,682
ex-31337,683
Uber To Your Crib,684
5POWER,685
Natus Vincere,686
really weird,687
EXORS,688
Red Wolf,689
Clutch Solutions,690
T5,691
Rejected,692
PC419,693
Prospects,694
aAa,695
merry,696
Latingamers,697
EsportsAdviser,698
Pompa Black,699
Syntax,700
Azure,701
IPET,702
BuzzKill,703
Kansas City Pioneers,704
Play4Lan,705
Alpha Nerds,706
Armada,707
inchk1ng,708
expert fe,709
AllTheStars,710
Universe,711
Binary Dragons,712
Moops,713
DeepDarkDanger,714
Zeta Strike,715
AE,716
J2G,717
GameAgents,718
dreamchasers,719
OnlineRol,720
The Pioneers,721
nevermind,722
Enyoy,723
GameplayDNA,724
RANKS,725
5FRAGS,726
SSU White,727
EaV,728
GamePub,729
Forge,730
Granit,731
DEMONIO,732
Brute,733
MAXISAUCISSE,734
Lin4evateli,735
x-kom,736
