player_name,country_number
NagZet,84
Spoti,6
lenci,6
nacho,6
BTN,22
XELLOW,22
iM,22
ragga,22
sXe,22
alexis1,6
Aaron,11
bodito,11
coolio,11
kory,40
torzsi,11
5TRYK#R,75
Art1st,8
Coffee,48
JIaYm,8
RuFire,8
icem4N,75
mirac1e,8
smiley,75
sorrow,75
w1nt3r,75
Toft,88
kiR,88
kwezz,88
torben,88
Boo,53
Dreamas,53
Kvik,53
Prochas,53
Reggie,53
jL,53
leakeN,53
lukjjE,53
maty,53
pounh,53
LaNrefNi,94
Nertz,94
buue,94
fredi,39
kenzo,94
meztal,94
nightmareK-,94
recent,94
roden,31
sway,94
1uke,8
DarkS1DE,102
LavL,8
THRONE,102
Wond3r,8
d34dr0ck,8
malik,8
nat1ve,102
rommi,8
tricky,8
DavCost,8
TRAVIS,8
propleh,8
starix,102
tonyblack,8
Salah,96
Spinx,94
ZENCER,94
Zodiac,96
cactus,96
flameZ,94
johnqt,96
ponkt,94
shushan,94
suNtouch,96
Vegi,67
byali,67
crank,67
kamil,67
phr,67
Advo,53
Askew,53
BaGyZ,53
Sidivo,53
ceNder,53
CaNNiE,39
NEOFRAG,39
SHOCK,39
ZEDKO,39
beastik,39
PASHANOJ,8
Polt,8
R0b3n,81
fenvicious,8
zorte,8
Aikas,53
Butters,53
Bymas,53
Carcass,53
slokker,53
Annihilation,85
Norisen,97
rate,85
sKINEE,85
sk0R,85
tamir,85
RIPablo Escobar,97
hornet,97
neth,97
oitaN,97
poem,97
HexT,49
Walco,49
gmanchew,49
pwny,106
wiz,106
CLASIA,106
Hiki,106
JoshRT,106
Lacore,40
taboo,106
SKip,95
em4n,95
gon,95
keiz,95
lineko,95
mcl,95
naitte,95
netim,95
sir,95
supLex,95
KHTEX,95
SHOOWTiME,95
delboNi,95
dzt,95
zqkS,95
bld,95
brokeN,95
paiva,95
sing,95
ADR1AN,25
cello,25
ecfN,25
leckr,39
shadow,22
NEEX,67
bubble,27
disco doplan,41
fejtZ,82
grux,41
ridze,8
santys,8
synd,8
vikont,8
wayzed,8
Snax,67
Blastinho,108
Ergasster,108
Zorrele,108
adamS,22
sausol,108
GruBy,67
